airport,countryCode,lat,lng,month_of_purchase,year_of_purchase,months_in_advance,month_of_flight,year_of_flight,airline,dist,duration,price,sale
BYR,DK,57.277563,11.005083,4,2019,2,6,2019,EasyJet,718.47,86.0,67.76,False
KAU,FI,63.1,23.083333,8,2019,6,2,2020,RyanAir,1110.94,126.0,67.2,False
IOR,IE,53.11666700000001,-9.75,10,2019,1,11,2019,EasyJet,487.02,63.0,68.15,False
MAN,GB,53.362908,-2.273354,5,2019,2,7,2019,EuroWings,649.65,79.0,62.24,False
KKN,NO,69.72350300000001,29.891184000000003,7,2019,1,8,2019,EuroWings,765.05,91.0,90.34,False
PGF,FR,42.741018,2.868183,1,2019,4,5,2019,EasyJet,1750.46,190.0,103.64,False
AGP,ES,36.675181,-4.489616000000001,7,2019,4,11,2019,EasyJet,1473.02,162.0,150.22,False
GBN,IT,41.701667,15.730556,9,2019,3,12,2019,EuroWings,1138.53,128.0,125.28,False
WIC,GB,58.45694399999999,-3.086667,8,2019,3,11,2019,EuroWings,207.73,35.0,34.26,False
ULL,GB,56.45,-6.0,1,2019,1,2,2019,EuroWings,647.83,79.0,50.27,False
VAW,NO,70.354722,31.045556,7,2019,5,12,2019,EasyJet,266.66,41.0,43.09,False
PYR,GR,37.933333000000005,21.283333,2,2019,2,4,2019,EuroWings,1106.13,125.0,75.76,False
GAT,FR,44.55,6.0833330000000005,5,2019,4,9,2019,EuroWings,298.17,44.0,24.0,False
ESS,DE,51.403889,6.941667,12,2019,1,1,2020,RyanAir,196.49,34.0,23.8,False
CTA,IT,37.470663,15.065876999999999,10,2019,7,5,2020,EuroWings,1379.31,152.0,76.0,False
PGX,FR,45.183333000000005,0.716667,12,2019,4,4,2020,RyanAir,231.53,38.0,22.8,False
JCO,MT,36.016667,14.333332999999998,4,2019,3,7,2019,EuroWings,1582.5,173.0,129.49,False
IDY,FR,46.717867,-2.3886939999999997,5,2019,4,9,2019,EasyJet,412.03,56.0,30.55,False
FAG,IS,63.88333299999999,-16.65,9,2019,4,1,2020,EasyJet,612.3,76.0,45.6,False
ZGC,HR,45.803101,15.994173000000002,4,2019,3,7,2019,EuroWings,257.46,40.0,29.94,False
WEX,IE,52.333333,-6.466667,4,2019,3,7,2019,EuroWings,715.74,86.0,64.37,False
JCA,FR,43.535369,7.038334,4,2019,4,8,2019,EasyJet,916.53,106.0,75.16,False
NIC,CY,35.151111,33.272222,5,2019,7,12,2019,EuroWings,1274.88,142.0,109.73,False
OLI,IS,65.0,-23.983333,12,2019,3,3,2020,RyanAir,704.4,85.0,53.83,False
FRJ,FR,43.433333000000005,6.733333,3,2019,3,6,2019,EasyJet,941.99,109.0,81.58,False
KSU,NO,63.113445999999996,7.826021000000001,6,2019,9,3,2020,EasyJet,758.78,90.0,46.8,False
PSV,GB,60.32220699999999,-1.693238,6,2019,1,7,2019,EuroWings,1194.02,134.0,110.85,False
GFR,FR,48.883333,-1.566667,5,2019,1,6,2019,EasyJet,1597.52,174.0,143.95,False
BQT,BY,52.110065000000006,23.898222,9,2019,4,1,2020,RyanAir,463.11,61.0,36.6,False
KKY,IE,52.65,-7.25,12,2019,6,6,2020,EuroWings,749.22,89.0,61.71,False
MAN,GB,53.362908,-2.273354,5,2019,4,9,2019,RyanAir,649.65,79.0,43.09,False
QGV,DE,50.05,8.683333,3,2019,3,6,2019,EuroWings,1337.17,148.0,110.78,False
KZG,DE,49.733333,10.15,10,2019,6,4,2020,RyanAir,1665.75,181.0,96.53,False
FLW,PT,39.466667,-31.15,6,2019,1,7,2019,EuroWings,541.68,69.0,57.08,False
SOG,NO,61.158127,7.1369880000000006,12,2019,1,1,2020,EasyJet,1636.72,178.0,149.52,False
UNT,GB,60.748559,-0.8496530000000001,12,2019,2,2,2020,EasyJet,1626.86,177.0,118.0,False
KSJ,GR,35.421267,26.910895,6,2019,8,2,2020,RyanAir,1421.42,157.0,73.27,False
LEI,ES,36.847984000000004,-2.371873,11,2019,2,1,2020,EuroWings,1782.05,193.0,128.67,False
VDB,NO,61.015556000000004,9.288056,3,2019,1,4,2019,EuroWings,1436.85,158.0,120.65,False
ALC,ES,38.287098,-0.557381,2,2019,2,4,2019,EuroWings,413.48,56.0,33.94,False
PKH,GR,37.301389,23.147222,5,2019,9,2,2020,EuroWings,1447.61,159.0,68.9,False
BRI,IT,41.133881,16.76391,3,2019,1,4,2019,EuroWings,894.52,104.0,66.18,False
OLA,NO,63.698789,9.604094,10,2019,7,5,2020,EuroWings,864.46,101.0,60.6,False
TBS,GE,41.674063000000004,44.958958,12,2019,4,4,2020,EuroWings,1697.47,184.0,110.4,False
LKL,NO,70.067778,24.973611,10,2019,4,2,2020,EasyJet,149.03,29.0,20.88,False
VIY,FR,48.774167,2.191667,5,2019,2,7,2019,RyanAir,1601.98,175.0,137.88,False
ODH,GB,51.234232,-0.943024,7,2019,1,8,2019,EasyJet,423.49,57.0,47.15,False
FZO,GB,51.516667,-2.583333,6,2019,2,8,2019,RyanAir,612.21,76.0,59.88,False
FES,ES,36.466667,-6.183333,11,2019,2,1,2020,EuroWings,1370.91,152.0,101.33,False
FAG,IS,63.88333299999999,-16.65,2,2019,1,3,2019,EuroWings,612.3,76.0,48.36,False
SVG,NO,58.882149,5.6291970000000005,12,2019,5,5,2020,RyanAir,801.09,95.0,64.6,False
SVL,FI,61.944186,28.932545,2,2019,4,6,2019,RyanAir,1833.0,198.0,140.4,False
GLZ,NL,51.567263,4.932732,5,2019,4,9,2019,EuroWings,447.31,59.0,32.18,False
ZRH,CH,47.450604,8.561746000000001,1,2019,1,2,2019,EuroWings,995.05,114.0,87.05,False
JKL,GR,36.963333,26.940556,3,2019,1,4,2019,RyanAir,1360.5,151.0,96.09,False
BRR,GB,57.025237,-7.449342999999999,8,2019,3,11,2019,RyanAir,698.36,84.0,82.22,False
LWN,AM,40.716667,43.833333,9,2019,4,1,2020,EasyJet,1306.63,145.0,87.0,False
BIA,FR,42.547616,9.480124,1,2019,1,2,2019,RyanAir,1670.2,182.0,115.82,False
LWN,AM,40.716667,43.833333,11,2019,1,12,2019,RyanAir,1306.63,145.0,156.86,False
LAI,FR,48.754166999999995,-3.4819440000000004,8,2019,2,10,2019,EuroWings,1616.52,176.0,106.67,False
CAG,IT,39.254333,9.060673,6,2019,4,10,2019,EasyJet,424.62,57.0,31.09,False
DUS,DE,51.278327000000004,6.76558,11,2019,2,1,2020,RyanAir,109.03,25.0,12.5,True
QQM,GB,-1.0,-1.0,3,2019,2,5,2019,EasyJet,1378.58,152.0,92.12,False
VLL,ES,41.70581,-4.844626,1,2019,2,3,2019,EasyJet,1536.05,168.0,101.82,False
LPP,FI,61.044114,28.155163,7,2019,6,1,2020,EuroWings,1453.6,160.0,85.33,False
BLQ,IT,44.529268,11.293289,2,2019,4,6,2019,EuroWings,705.49,85.0,60.27,False
MSE,GB,51.346396,1.357335,11,2019,2,1,2020,EasyJet,383.98,53.0,35.33,False
PNL,IT,36.813611,11.966111,11,2019,1,12,2019,EuroWings,1232.39,138.0,149.29,False
JPU,FR,48.866667,2.333333,11,2019,3,2,2020,EuroWings,1630.14,178.0,112.73,False
ACH,CH,47.483333,9.566667,2,2019,4,6,2019,EuroWings,814.91,96.0,81.69,False
SIJ,IS,66.166667,-18.933332999999998,5,2019,1,6,2019,EuroWings,1512.54,166.0,137.33,False
EBJ,DK,55.52143100000001,8.549062,8,2019,3,11,2019,EuroWings,1613.24,176.0,172.27,False
AAR,DK,56.30823,10.626351,2,2019,1,3,2019,RyanAir,1351.45,150.0,95.45,False
LIN,IT,45.460958000000005,9.279157000000001,7,2019,7,2,2020,EasyJet,471.37,62.0,31.0,False
OMO,BA,43.285556,17.846667,5,2019,1,6,2019,EasyJet,1232.49,138.0,114.16,False
RNE,FR,46.053333,4.000833,4,2019,4,8,2019,EuroWings,234.97,38.0,26.95,False
PVK,GR,38.926389,20.765832999999997,10,2019,2,12,2019,EuroWings,484.65,63.0,64.91,False
LXS,GR,39.923906,25.233446,2,2019,4,6,2019,EuroWings,830.94,98.0,69.49,False
VAR,BG,43.237258000000004,27.829096000000003,5,2019,1,6,2019,EuroWings,1695.13,184.0,152.22,False
BGC,PT,41.856158,-6.706141000000001,8,2019,1,9,2019,EasyJet,1759.73,190.0,90.68,True
CLY,FR,42.527778000000005,8.791667,10,2019,2,12,2019,RyanAir,1629.5,177.0,182.36,False
ROU,BG,43.683333000000005,26.05,11,2019,3,2,2020,EuroWings,862.03,101.0,63.97,False
MME,GB,54.512226,-1.434013,7,2019,8,3,2020,EuroWings,1480.16,163.0,76.07,False
NVS,FR,47.0,3.15,10,2019,1,11,2019,RyanAir,518.73,66.0,71.4,False
GWY,IE,53.283333,-9.033333,3,2019,2,5,2019,EuroWings,512.34,66.0,40.0,False
XLW,DE,53.166667000000004,8.6,12,2019,5,5,2020,EasyJet,682.23,83.0,47.03,False
VAW,NO,70.354722,31.045556,8,2019,2,10,2019,EasyJet,266.66,41.0,29.82,False
EXT,GB,50.731109000000004,-3.410968,10,2019,4,2,2020,EasyJet,1077.37,122.0,73.2,False
CVT,GB,52.369167,-1.4786110000000001,4,2019,6,10,2019,EuroWings,482.3,63.0,30.55,False
IOM,GB,54.086794999999995,-4.633191,8,2019,3,11,2019,EasyJet,1387.95,153.0,149.75,False
PDV,BG,42.3,24.716667,6,2019,5,11,2019,EasyJet,1639.58,178.0,155.88,False
TAR,IT,40.517778,17.401944,9,2019,1,10,2019,EasyJet,796.89,94.0,59.82,False
EBJ,DK,55.52143100000001,8.549062,12,2019,3,3,2020,RyanAir,1613.24,176.0,111.47,False
BEB,GB,57.473414,-7.376028,7,2019,1,8,2019,RyanAir,485.84,63.0,52.12,False
TFS,ES,28.044444,-16.5725,2,2019,2,4,2019,RyanAir,702.46,85.0,51.52,False
AVR,PT,38.885271,-9.033106,3,2019,6,9,2019,RyanAir,659.29,80.0,38.79,False
